Time,SP,Tin,Time01,hour,IncO01,Weekdays,Step,Time03,IncO,Month,days,days01
2020-11-05 23:59,22.889,22.749,23,-23,,Thursday,19008,23,0,November,5,0
2020-11-06 0:04,22.889,22.749,0,0,,Friday,19009,0,0,November,66,61
2020-11-06 0:09,22.889,22.749,0,0,,Friday,19010,0,0,November,66,0
2020-11-06 0:14,22.889,22.749,0,0,,Friday,19011,0,0,November,66,0
2020-11-06 0:19,22.889,22.749,0,0,,Friday,19012,0,0,November,66,0
2020-11-06 0:24,22.889,22.749,0,0,,Friday,19013,0,0,November,66,0
2020-11-06 0:29,22.889,22.749,0,0,,Friday,19014,0,0,November,66,0
2020-11-06 0:34,22.889,22.749,0,0,,Friday,19015,0,0,November,66,0
2020-11-06 0:39,22.889,22.749,0,0,,Friday,19016,0,0,November,66,0
2020-11-06 0:44,22.889,22.749,0,0,,Friday,19017,0,0,November,66,0
2020-11-06 0:49,22.889,22.749,0,0,,Friday,19018,0,0,November,66,0
2020-11-06 0:54,22.889,22.749,0,0,,Friday,19019,0,0,November,66,0
2020-11-06 0:59,22.889,22.749,0,1,,Friday,19020,0,0,November,66,0
2020-11-06 1:04,22.889,22.749,1,0,,Friday,19021,1,0,November,66,0
2020-11-06 1:09,22.889,22.749,1,0,,Friday,19022,1,0,November,66,0
2020-11-06 1:14,22.889,22.749,1,0,,Friday,19023,1,0,November,66,0
2020-11-06 1:19,22.889,22.749,1,0,,Friday,19024,1,0,November,66,0
2020-11-06 1:24,22.889,22.749,1,0,,Friday,19025,1,0,November,66,0
2020-11-06 1:29,22.889,22.749,1,0,,Friday,19026,1,0,November,66,0
2020-11-06 1:34,22.889,22.749,1,0,,Friday,19027,1,0,November,66,0
2020-11-06 1:39,22.889,22.749,1,0,,Friday,19028,1,0,November,66,0
2020-11-06 1:44,22.889,22.749,1,0,,Friday,19029,1,0,November,66,0
2020-11-06 1:49,22.889,22.749,1,0,,Friday,19030,1,0,November,66,0
2020-11-06 1:54,22.889,22.749,1,0,,Friday,19031,1,0,November,66,0
2020-11-06 1:59,22.889,22.749,1,1,,Friday,19032,1,0,November,66,0
2020-11-06 2:04,22.889,22.749,2,0,,Friday,19033,2,0,November,66,0
2020-11-06 2:09,22.889,22.749,2,0,,Friday,19034,2,0,November,66,0
2020-11-06 2:14,22.889,22.749,2,0,,Friday,19035,2,0,November,66,0
2020-11-06 2:19,22.889,22.749,2,0,,Friday,19036,2,0,November,66,0
2020-11-06 2:24,22.889,22.749,2,0,,Friday,19037,2,0,November,66,0
2020-11-06 2:29,22.889,22.749,2,0,,Friday,19038,2,0,November,66,0
2020-11-06 2:34,22.889,22.749,2,0,,Friday,19039,2,0,November,66,0
2020-11-06 2:39,22.889,22.609,2,0,,Friday,19040,2,0,November,66,0
2020-11-06 2:44,22.889,22.609,2,0,,Friday,19041,2,0,November,66,0
2020-11-06 2:49,22.889,22.609,2,0,,Friday,19042,2,0,November,66,0
2020-11-06 2:54,22.889,22.609,2,0,,Friday,19043,2,0,November,66,0
2020-11-06 2:59,22.889,22.609,2,1,,Friday,19044,2,0,November,66,0
2020-11-06 3:04,22.889,22.609,3,0,,Friday,19045,3,0,November,66,0
2020-11-06 3:09,22.889,22.749,3,0,,Friday,19046,3,0,November,66,0
2020-11-06 3:14,22.889,22.749,3,0,,Friday,19047,3,0,November,66,0
2020-11-06 3:19,22.889,22.749,3,0,,Friday,19048,3,0,November,66,0
2020-11-06 3:24,22.889,22.749,3,0,,Friday,19049,3,0,November,66,0
2020-11-06 3:29,22.889,22.749,3,0,,Friday,19050,3,0,November,66,0
2020-11-06 3:34,22.889,22.749,3,0,,Friday,19051,3,0,November,66,0
2020-11-06 3:39,22.889,22.749,3,0,,Friday,19052,3,0,November,66,0
2020-11-06 3:44,22.889,22.749,3,0,,Friday,19053,3,0,November,66,0
2020-11-06 3:49,22.889,22.749,3,0,,Friday,19054,3,0,November,66,0
2020-11-06 3:54,22.889,22.749,3,0,,Friday,19055,3,0,November,66,0
2020-11-06 3:59,22.889,22.749,3,1,,Friday,19056,3,0,November,66,0
2020-11-06 4:04,22.889,22.749,4,0,,Friday,19057,4,0,November,66,0
2020-11-06 4:09,22.889,22.749,4,0,,Friday,19058,4,0,November,66,0
2020-11-06 4:14,22.889,22.749,4,0,,Friday,19059,4,0,November,66,0
2020-11-06 4:19,22.889,22.749,4,0,,Friday,19060,4,0,November,66,0
