Time,SP,Tin,IncO04,DcrO01,Step
2020-11-05 23:54,23.029,22.749,0,0,19007
2020-11-05 23:59,23.029,22.749,0,0,19008
2020-11-06 0:04,23.029,22.749,0,0,19009
2020-11-06 0:09,23.029,22.749,0,0,19010
2020-11-06 0:14,23.029,22.749,0,0,19011
2020-11-06 0:19,23.029,22.749,0,0,19012
2020-11-06 0:24,23.029,22.749,0,0,19013
2020-11-06 0:29,23.029,22.749,0,0,19014
2020-11-06 0:34,23.029,22.749,0,0,19015
2020-11-06 0:39,23.029,22.749,0,0,19016
2020-11-06 0:44,23.029,22.749,0,0,19017
2020-11-06 0:49,23.029,22.749,0,0,19018
2020-11-06 0:54,23.029,22.749,0,0,19019
2020-11-06 0:59,23.029,22.749,0,0,19020
2020-11-06 1:04,23.029,22.749,0,0,19021
2020-11-06 1:09,23.029,22.749,0,0,19022
2020-11-06 1:14,23.029,22.749,0,0,19023
2020-11-06 1:19,23.029,22.749,0,0,19024
2020-11-06 1:24,23.029,22.749,0,0,19025
2020-11-06 1:29,23.029,22.749,0,0,19026
2020-11-06 1:34,23.029,22.749,0,0,19027
2020-11-06 1:39,23.029,22.749,0,0,19028
2020-11-06 1:44,23.029,22.749,0,0,19029
2020-11-06 1:49,23.029,22.749,0,0,19030
2020-11-06 1:54,23.029,22.749,0,0,19031
2020-11-06 1:59,23.029,22.749,0,0,19032
2020-11-06 2:04,23.029,22.749,0,0,19033
2020-11-06 2:09,23.029,22.749,0,0,19034
2020-11-06 2:14,23.029,22.749,0,0,19035
2020-11-06 2:19,23.029,22.749,0,0,19036
2020-11-06 2:24,23.029,22.749,0,0,19037
2020-11-06 2:29,23.029,22.749,0,0,19038
2020-11-06 2:34,23.029,22.749,0,0,19039
2020-11-06 2:39,23.029,22.609,0,0,19040
2020-11-06 2:44,23.029,22.609,0,0,19041
2020-11-06 2:49,23.029,22.609,0,0,19042
2020-11-06 2:54,23.029,22.609,0,0,19043
2020-11-06 2:59,23.029,22.609,0,0,19044
2020-11-06 3:04,23.029,22.609,0,0,19045
2020-11-06 3:09,23.029,22.749,0,0,19046
2020-11-06 3:14,23.029,22.749,0,0,19047
2020-11-06 3:19,23.029,22.749,0,0,19048
